year,category,firstname,surname,gender,birthyear
1951,medicine,Max,Theiler,male,1899
1952,medicine,Selman Abraham,Waksman,male,1888
1953,medicine,Hans Adolf,Krebs,male,1900
1953,medicine,Fritz Albert,Lipmann,male,1899
1954,medicine,John Franklin,Enders,male,1897
1954,medicine,Thomas Huckle,Weller,male,1915
1954,medicine,Frederick Chapman,Robbins,male,1916
1955,medicine,Axel Hugo Theodor,Theorell,male,1903
1956,medicine,André Frédéric,Cournand,male,1895
1956,medicine,Werner,Forssmann,male,1904
1956,medicine,Dickinson W.,Richards,male,1895
1957,medicine,Daniel,Bovet,male,1907
1958,medicine,George Wells,Beadle,male,1903
1958,medicine,Edward Lawrie,Tatum,male,1909
1958,medicine,Joshua,Lederberg,male,1925
1959,medicine,Severo,Ochoa,male,1905
1959,medicine,Arthur,Kornberg,male,1918
1960,medicine,Sir Frank Macfarlane,Burnet,male,1899
1960,medicine,Peter Brian,Medawar,male,1915
1961,medicine,Georg,von Békésy,male,1899
1962,medicine,Francis Harry Compton,Crick,male,1916
1962,medicine,James Dewey,Watson,male,1928
1962,medicine,Maurice Hugh Frederick,Wilkins,male,1916
1963,medicine,Sir John Carew,Eccles,male,1903
1963,medicine,Alan Lloyd,Hodgkin,male,1914
1963,medicine,Andrew Fielding,Huxley,male,1917
1964,medicine,Konrad,Bloch,male,1912
1964,medicine,Feodor,Lynen,male,1911
1965,medicine,François,Jacob,male,1920
1965,medicine,André,Lwoff,male,1902
1965,medicine,Jacques,Monod,male,1910
1966,medicine,Peyton,Rous,male,1879
1966,medicine,Charles Brenton,Huggins,male,1901
1967,medicine,Ragnar,Granit,male,1900
1967,medicine,Haldan Keffer,Hartline,male,1903
1967,medicine,George,Wald,male,1906
1968,medicine,Robert W.,Holley,male,1922
1968,medicine,Har Gobind,Khorana,male,1922
1968,medicine,Marshall W.,Nirenberg,male,1927
1969,medicine,Max,Delbrück,male,1906
1969,medicine,Alfred D.,Hershey,male,1908
1969,medicine,Salvador E.,Luria,male,1912
1970,medicine,Sir Bernard,Katz,male,1911
1970,medicine,Ulf,von Euler,male,1905
1970,medicine,Julius,Axelrod,male,1912
1971,medicine,Earl W.,Sutherland Jr.,male,1915
1972,medicine,Gerald M.,Edelman,male,1929
1972,medicine,Rodney R.,Porter,male,1917
1973,medicine,Karl,von Frisch,male,1886
1973,medicine,Konrad,Lorenz,male,1903
1973,medicine,Nikolaas,Tinbergen,male,1907
1974,medicine,Albert,Claude,male,1898
1974,medicine,Christian,de Duve,male,1917
1974,medicine,George E.,Palade,male,1912
1975,medicine,David,Baltimore,male,1938
1975,medicine,Renato,Dulbecco,male,1914
1975,medicine,Howard Martin,Temin,male,1934
1976,medicine,Baruch S.,Blumberg,male,1925
1976,medicine,D. Carleton,Gajdusek,male,1923
1977,medicine,Roger,Guillemin,male,1924
1977,medicine,Andrew V.,Schally,male,1926
1977,medicine,Rosalyn,Yalow,female,1921
1978,medicine,Werner,Arber,male,1929
1978,medicine,Daniel,Nathans,male,1928
1978,medicine,Hamilton O.,Smith,male,1931
1979,medicine,Allan M.,Cormack,male,1924
1979,medicine,Godfrey N.,Hounsfield,male,1919
1980,medicine,Baruj,Benacerraf,male,1920
1980,medicine,Jean,Dausset,male,1916
1980,medicine,George D.,Snell,male,1903
1981,medicine,Roger W.,Sperry,male,1913
1981,medicine,David H.,Hubel,male,1926
1981,medicine,Torsten N.,Wiesel,male,1924
1982,medicine,Sune K.,Bergström,male,1916
1982,medicine,Bengt I.,Samuelsson,male,1934
1982,medicine,John R.,Vane,male,1927
1983,medicine,Barbara,McClintock,female,1902
1984,medicine,Niels K.,Jerne,male,1911
1984,medicine,Georges J.F.,Köhler,male,1946
1984,medicine,César,Milstein,male,1927
1985,medicine,Michael S.,Brown,male,1941
1985,medicine,Joseph L.,Goldstein,male,1940
1986,medicine,Stanley,Cohen,male,1922
1986,medicine,Rita,Levi-Montalcini,female,1909
1987,medicine,Susumu,Tonegawa,male,1939
1988,medicine,Sir James W.,Black,male,1924
1988,medicine,Gertrude B.,Elion,female,1918
1988,medicine,George H.,Hitchings,male,1905
1989,medicine,J. Michael,Bishop,male,1936
1989,medicine,Harold E.,Varmus,male,1939
1990,medicine,Joseph E.,Murray,male,1919
1990,medicine,E. Donnall,Thomas,male,1920
1991,medicine,Erwin,Neher,male,1944
1991,medicine,Bert,Sakmann,male,1942
1992,medicine,Edmond H.,Fischer,male,1920
1992,medicine,Edwin G.,Krebs,male,1918
1993,medicine,Richard J.,Roberts,male,1943
1993,medicine,Phillip A.,Sharp,male,1944
1994,medicine,Alfred G.,Gilman,male,1941
1994,medicine,Martin,Rodbell,male,1925
1995,medicine,Edward B.,Lewis,male,1918
1995,medicine,Christiane,Nüsslein-Volhard,female,1942
1995,medicine,Eric F.,Wieschaus,male,1947
1996,medicine,Peter C.,Doherty,male,1940
1996,medicine,Rolf M.,Zinkernagel,male,1944
1997,medicine,Stanley B.,Prusiner,male,1942
1998,medicine,Robert F.,Furchgott,male,1916
1998,medicine,Louis J.,Ignarro,male,1941
1998,medicine,Ferid,Murad,male,1936
1999,medicine,Günter,Blobel,male,1936
1901,peace,Jean Henry,Dunant,male,1828
1901,peace,Frédéric,Passy,male,1822
1902,peace,Élie,Ducommun,male,1833
1902,peace,Charles Albert,Gobat,male,1843
1903,peace,William Randal,Cremer,male,1828
1905,peace,Baroness Bertha Sophie Felicita,von Suttner née Countess Kinsky von Chinic und Tettau,female,1843
1906,peace,Theodore,Roosevelt,male,1858
1907,peace,Ernesto Teodoro,Moneta,male,1833
1907,peace,Louis,Renault,male,1843
1908,peace,Klas Pontus,Arnoldson,male,1844
1908,peace,Fredrik,Bajer,male,1837
